UniProt_AC,Uniprot_ID,Gene,BM_Status
Q02536,LAMC2_HUMAN,LAMC2,Core
Q02537,LAMC2_HUMAN,LAMC2,Core
Q13752,LAMC2_HUMAN,LAMC2,Core
Q14941,LAMC2_HUMAN,LAMC2,Core
Q14DF7,LAMC2_HUMAN,LAMC2,Core
Q2M1N2,LAMC2_HUMAN,LAMC2,Core
Q5VYE8,LAMC2_HUMAN,LAMC2,Core
P14543,NID1_HUMAN,NID1,Core
Q14942,NID1_HUMAN,NID1,Core
Q59FL2,NID1_HUMAN,NID1,Core
Q5TAF2,NID1_HUMAN,NID1,Core
Q5TAF3,NID1_HUMAN,NID1,Core
Q86XD7,NID1_HUMAN,NID1,Core
Q14112,NID2_HUMAN,NID2,Core
A8K6I7,NID2_HUMAN,NID2,Core
B4DU19,NID2_HUMAN,NID2,Core
O43710,NID2_HUMAN,NID2,Core
P09486,SPRC_HUMAN,SPARC,Core
D3DQH9,SPRC_HUMAN,SPARC,Core
Q6IBK4,SPRC_HUMAN,SPARC,Core
P35442,TSP2_HUMAN,THBS2,Core
A6H8N1,TSP2_HUMAN,THBS2,Core
A7E232,TSP2_HUMAN,THBS2,Core
Q5RI52,TSP2_HUMAN,THBS2,Core
Q6PCB0,VWA1_HUMAN,VWA1,Core
A8K692,VWA1_HUMAN,VWA1,Core
B3KUA1,VWA1_HUMAN,VWA1,Core
E9PB53,VWA1_HUMAN,VWA1,Core
Q7L5D7,VWA1_HUMAN,VWA1,Core
Q9H6J5,VWA1_HUMAN,VWA1,Core
