UniProt_AC,Gene,Matrisome_Division,Matrisome_Category
H0Y7G9,HTRA1,Matrisome-associated,ECM Regulators
Q92743,HTRA1,Matrisome-associated,ECM Regulators
P83110,HTRA3,Matrisome-associated,ECM Regulators
P83105,HTRA4,Matrisome-associated,ECM Regulators
C9JB49,HYAL1,Matrisome-associated,ECM Regulators
C9JRK1,HYAL1,Matrisome-associated,ECM Regulators
Q12794,HYAL1,Matrisome-associated,ECM Regulators
C9J700,HYAL2,Matrisome-associated,ECM Regulators
C9JBF5,HYAL2,Matrisome-associated,ECM Regulators
C9JSD1,HYAL2,Matrisome-associated,ECM Regulators
C9JSI7,HYAL2,Matrisome-associated,ECM Regulators
C9K016,HYAL2,Matrisome-associated,ECM Regulators
Q12891,HYAL2,Matrisome-associated,ECM Regulators
C9JB51,HYAL3,Matrisome-associated,ECM Regulators
O43820,HYAL3,Matrisome-associated,ECM Regulators
C9J6F9,HYAL4,Matrisome-associated,ECM Regulators
C9JU18,HYAL4,Matrisome-associated,ECM Regulators
F8WDH9,HYAL4,Matrisome-associated,ECM Regulators
Q2M3T9,HYAL4,Matrisome-associated,ECM Regulators
B5MCP1,ITIH1,Matrisome-associated,ECM Regulators
F5H7E1,ITIH1,Matrisome-associated,ECM Regulators
F8WAS2,ITIH1,Matrisome-associated,ECM Regulators
H7C0N0,ITIH1,Matrisome-associated,ECM Regulators
H7C5I0,ITIH1,Matrisome-associated,ECM Regulators
P19827,ITIH1,Matrisome-associated,ECM Regulators
P19823,ITIH2,Matrisome-associated,ECM Regulators
Q5T985,ITIH2,Matrisome-associated,ECM Regulators
Q5T987,ITIH2,Matrisome-associated,ECM Regulators
E7ET33,ITIH3,Matrisome-associated,ECM Regulators
Q06033,ITIH3,Matrisome-associated,ECM Regulators
B7ZKJ8,ITIH4,Matrisome-associated,ECM Regulators
F5GXQ1,ITIH4,Matrisome-associated,ECM Regulators
H7C0L5,ITIH4,Matrisome-associated,ECM Regulators
Q14624,ITIH4,Matrisome-associated,ECM Regulators
C9J2H1,ITIH5,Matrisome-associated,ECM Regulators
G5E9D8,ITIH5,Matrisome-associated,ECM Regulators
H7C5A6,ITIH5,Matrisome-associated,ECM Regulators
J3KQ60,ITIH5,Matrisome-associated,ECM Regulators
Q86UX2,ITIH5,Matrisome-associated,ECM Regulators
Q6UXX5,ITIH6,Matrisome-associated,ECM Regulators
Q96I82,KAZALD1,Matrisome-associated,ECM Regulators
P01042,KNG1,Matrisome-associated,ECM Regulators
B4DGA7,KY,Matrisome-associated,ECM Regulators
Q8NBH2,KY,Matrisome-associated,ECM Regulators
E2QRI1,LEPRE1,Matrisome-associated,ECM Regulators
H7C0D1,LEPRE1,Matrisome-associated,ECM Regulators
H7C2W6,LEPRE1,Matrisome-associated,ECM Regulators
Q32P28,LEPRE1,Matrisome-associated,ECM Regulators
C9J313,LEPREL1,Matrisome-associated,ECM Regulators
C9JSL4,LEPREL1,Matrisome-associated,ECM Regulators
Q8IVL5,LEPREL1,Matrisome-associated,ECM Regulators
G8JLI6,LEPREL2,Matrisome-associated,ECM Regulators
Q8IVL6,LEPREL2,Matrisome-associated,ECM Regulators
H0YAL3,LOX,Matrisome-associated,ECM Regulators
P28300,LOX,Matrisome-associated,ECM Regulators
H3BUV8,LOXL1,Matrisome-associated,ECM Regulators
Q08397,LOXL1,Matrisome-associated,ECM Regulators
E5RFE2,LOXL2,Matrisome-associated,ECM Regulators
E5RFY0,LOXL2,Matrisome-associated,ECM Regulators
E5RHH3,LOXL2,Matrisome-associated,ECM Regulators
E5RI22,LOXL2,Matrisome-associated,ECM Regulators
E5RJL2,LOXL2,Matrisome-associated,ECM Regulators
H0YAP6,LOXL2,Matrisome-associated,ECM Regulators
H0YAR1,LOXL2,Matrisome-associated,ECM Regulators
Q9Y4K0,LOXL2,Matrisome-associated,ECM Regulators
R4GMS2,LOXL2,Matrisome-associated,ECM Regulators
B8ZZT6,LOXL3,Matrisome-associated,ECM Regulators
B9A025,LOXL3,Matrisome-associated,ECM Regulators
C9J5M1,LOXL3,Matrisome-associated,ECM Regulators
E7END4,LOXL3,Matrisome-associated,ECM Regulators
H7C248,LOXL3,Matrisome-associated,ECM Regulators
P58215,LOXL3,Matrisome-associated,ECM Regulators
Q96JB6,LOXL4,Matrisome-associated,ECM Regulators
P08519,LPA,Matrisome-associated,ECM Regulators
C9J1C7,MASP1,Matrisome-associated,ECM Regulators
C9JLU5,MASP1,Matrisome-associated,ECM Regulators
C9JMA2,MASP1,Matrisome-associated,ECM Regulators
F8W876,MASP1,Matrisome-associated,ECM Regulators
P48740,MASP1,Matrisome-associated,ECM Regulators
O00187,MASP2,Matrisome-associated,ECM Regulators
Q16819,MEP1A,Matrisome-associated,ECM Regulators
J3KRK1,MEP1B,Matrisome-associated,ECM Regulators
J3QKX5,MEP1B,Matrisome-associated,ECM Regulators
Q16820,MEP1B,Matrisome-associated,ECM Regulators
P03956,MMP1,Matrisome-associated,ECM Regulators
F5GYX7,MMP10,Matrisome-associated,ECM Regulators
P09238,MMP10,Matrisome-associated,ECM Regulators
E9PED7,MMP11,Matrisome-associated,ECM Regulators
F8WDI7,MMP11,Matrisome-associated,ECM Regulators
H7C3I7,MMP11,Matrisome-associated,ECM Regulators
P24347,MMP11,Matrisome-associated,ECM Regulators
P39900,MMP12,Matrisome-associated,ECM Regulators
G5E971,MMP13,Matrisome-associated,ECM Regulators
P45452,MMP13,Matrisome-associated,ECM Regulators
F8VP90,MMP14,Matrisome-associated,ECM Regulators
F8W1B7,MMP14,Matrisome-associated,ECM Regulators
P50281,MMP14,Matrisome-associated,ECM Regulators
H3BT97,MMP15,Matrisome-associated,ECM Regulators
P51511,MMP15,Matrisome-associated,ECM Regulators
E5RJA7,MMP16,Matrisome-associated,ECM Regulators
P51512,MMP16,Matrisome-associated,ECM Regulators
F5GWR3,MMP17,Matrisome-associated,ECM Regulators
F5GZA7,MMP17,Matrisome-associated,ECM Regulators
F5H209,MMP17,Matrisome-associated,ECM Regulators
F5H249,MMP17,Matrisome-associated,ECM Regulators
F5H846,MMP17,Matrisome-associated,ECM Regulators
F5H881,MMP17,Matrisome-associated,ECM Regulators
Q9ULZ9,MMP17,Matrisome-associated,ECM Regulators
A6ND33,MMP19,Matrisome-associated,ECM Regulators
B4DNP3,MMP19,Matrisome-associated,ECM Regulators
F8W1C3,MMP19,Matrisome-associated,ECM Regulators
Q99542,MMP19,Matrisome-associated,ECM Regulators
H3BR66,MMP2,Matrisome-associated,ECM Regulators
H3BS34,MMP2,Matrisome-associated,ECM Regulators
H3BV48,MMP2,Matrisome-associated,ECM Regulators
J3KRB7,MMP2,Matrisome-associated,ECM Regulators
P08253,MMP2,Matrisome-associated,ECM Regulators
O60882,MMP20,Matrisome-associated,ECM Regulators
Q8N119,MMP21,Matrisome-associated,ECM Regulators
B4DMZ6,MMP23B,Matrisome-associated,ECM Regulators
D6REP6,MMP23B,Matrisome-associated,ECM Regulators
H0Y6I4,MMP23B,Matrisome-associated,ECM Regulators
H0YA69,MMP23B,Matrisome-associated,ECM Regulators
H0YAE5,MMP23B,Matrisome-associated,ECM Regulators
J3KRS4,MMP23B,Matrisome-associated,ECM Regulators
O75086,MMP23B,Matrisome-associated,ECM Regulators
O75900,MMP23B,Matrisome-associated,ECM Regulators
Q9Y5R2,MMP24,Matrisome-associated,ECM Regulators
Q9NPA2,MMP25,Matrisome-associated,ECM Regulators
Q9NRE1,MMP26,Matrisome-associated,ECM Regulators
Q9H306,MMP27,Matrisome-associated,ECM Regulators
K7ELN8,MMP28,Matrisome-associated,ECM Regulators
K7EMV8,MMP28,Matrisome-associated,ECM Regulators
K7ENP0,MMP28,Matrisome-associated,ECM Regulators
K7ERF8,MMP28,Matrisome-associated,ECM Regulators
Q9H239,MMP28,Matrisome-associated,ECM Regulators
E9PKX2,MMP3,Matrisome-associated,ECM Regulators
H7C139,MMP3,Matrisome-associated,ECM Regulators
P08254,MMP3,Matrisome-associated,ECM Regulators
P09237,MMP7,Matrisome-associated,ECM Regulators
E9PIY7,MMP8,Matrisome-associated,ECM Regulators
E9PJB3,MMP8,Matrisome-associated,ECM Regulators
E9PL87,MMP8,Matrisome-associated,ECM Regulators
H7C1M3,MMP8,Matrisome-associated,ECM Regulators
P22894,MMP8,Matrisome-associated,ECM Regulators
P14780,MMP9,Matrisome-associated,ECM Regulators
C9JU75,NGLY1,Matrisome-associated,ECM Regulators
H0Y2P2,NGLY1,Matrisome-associated,ECM Regulators
Q96IV0,NGLY1,Matrisome-associated,ECM Regulators
Q9NV10,NGLY1,Matrisome-associated,ECM Regulators
H3BP48,OGFOD1,Matrisome-associated,ECM Regulators
H3BR02,OGFOD1,Matrisome-associated,ECM Regulators
H3BR79,OGFOD1,Matrisome-associated,ECM Regulators
H3BUA6,OGFOD1,Matrisome-associated,ECM Regulators
J3KNR5,OGFOD1,Matrisome-associated,ECM Regulators
Q8N543,OGFOD1,Matrisome-associated,ECM Regulators
F5H145,OGFOD2,Matrisome-associated,ECM Regulators
F5H890,OGFOD2,Matrisome-associated,ECM Regulators
Q6N063,OGFOD2,Matrisome-associated,ECM Regulators
P13674,P4HA1,Matrisome-associated,ECM Regulators
A8MXE0,P4HA2,Matrisome-associated,ECM Regulators
C9JCP0,P4HA2,Matrisome-associated,ECM Regulators
C9JFJ1,P4HA2,Matrisome-associated,ECM Regulators
C9JIG4,P4HA2,Matrisome-associated,ECM Regulators
C9JN43,P4HA2,Matrisome-associated,ECM Regulators
C9JX45,P4HA2,Matrisome-associated,ECM Regulators
E7ENX0,P4HA2,Matrisome-associated,ECM Regulators
E7EPI9,P4HA2,Matrisome-associated,ECM Regulators
E7ERI1,P4HA2,Matrisome-associated,ECM Regulators
O15460,P4HA2,Matrisome-associated,ECM Regulators
E9PM97,P4HA3,Matrisome-associated,ECM Regulators
H0YCC3,P4HA3,Matrisome-associated,ECM Regulators
Q7Z4N8,P4HA3,Matrisome-associated,ECM Regulators
H7C153,P4HTM,Matrisome-associated,ECM Regulators
Q9NXG6,P4HTM,Matrisome-associated,ECM Regulators
V9GY20,P4HTM,Matrisome-associated,ECM Regulators
V9GYK5,P4HTM,Matrisome-associated,ECM Regulators
E9PIV1,PAMR1,Matrisome-associated,ECM Regulators
E9PMN5,PAMR1,Matrisome-associated,ECM Regulators
E9PQ70,PAMR1,Matrisome-associated,ECM Regulators
Q6UXH9,PAMR1,Matrisome-associated,ECM Regulators
F5GZ19,PAPPA,Matrisome-associated,ECM Regulators
Q13219,PAPPA,Matrisome-associated,ECM Regulators
Q9BXP8,PAPPA2,Matrisome-associated,ECM Regulators
B1AMG5,PCSK5,Matrisome-associated,ECM Regulators
B1AMG8,PCSK5,Matrisome-associated,ECM Regulators
Q5JSG7,PCSK5,Matrisome-associated,ECM Regulators
Q92824,PCSK5,Matrisome-associated,ECM Regulators
E7EM82,PCSK6,Matrisome-associated,ECM Regulators
E7EQ62,PCSK6,Matrisome-associated,ECM Regulators
E7EWH5,PCSK6,Matrisome-associated,ECM Regulators
H0Y3Q0,PCSK6,Matrisome-associated,ECM Regulators
H0YKK2,PCSK6,Matrisome-associated,ECM Regulators
H0YKZ4,PCSK6,Matrisome-associated,ECM Regulators
H0YLC8,PCSK6,Matrisome-associated,ECM Regulators
H0YMW5,PCSK6,Matrisome-associated,ECM Regulators
H7BXT3,PCSK6,Matrisome-associated,ECM Regulators
P29122,PCSK6,Matrisome-associated,ECM Regulators
P19957,PI3,Matrisome-associated,ECM Regulators
B4DN26,PLAT,Matrisome-associated,ECM Regulators
B4DNJ1,PLAT,Matrisome-associated,ECM Regulators
E5RGA1,PLAT,Matrisome-associated,ECM Regulators
E5RHG4,PLAT,Matrisome-associated,ECM Regulators
E7ESF4,PLAT,Matrisome-associated,ECM Regulators
H0YBH9,PLAT,Matrisome-associated,ECM Regulators
K4DI88,PLAT,Matrisome-associated,ECM Regulators
P00750,PLAT,Matrisome-associated,ECM Regulators
E7ESM2,PLAU,Matrisome-associated,ECM Regulators
E7ET40,PLAU,Matrisome-associated,ECM Regulators
P00749,PLAU,Matrisome-associated,ECM Regulators
S4R3G7,PLAU,Matrisome-associated,ECM Regulators
A6PVI2,PLG,Matrisome-associated,ECM Regulators
P00747,PLG,Matrisome-associated,ECM Regulators
Q5TEH5,PLG,Matrisome-associated,ECM Regulators
B4DR87,PLOD1,Matrisome-associated,ECM Regulators
Q02809,PLOD1,Matrisome-associated,ECM Regulators
Q5JXB7,PLOD1,Matrisome-associated,ECM Regulators
Q5JXB8,PLOD1,Matrisome-associated,ECM Regulators
Q5JXB9,PLOD1,Matrisome-associated,ECM Regulators
B3KWS3,PLOD2,Matrisome-associated,ECM Regulators
C9JXZ0,PLOD2,Matrisome-associated,ECM Regulators
E7ETU9,PLOD2,Matrisome-associated,ECM Regulators
F8WEW3,PLOD2,Matrisome-associated,ECM Regulators
O00469,PLOD2,Matrisome-associated,ECM Regulators
C9JIX5,PLOD3,Matrisome-associated,ECM Regulators
C9JU11,PLOD3,Matrisome-associated,ECM Regulators
H7C0B8,PLOD3,Matrisome-associated,ECM Regulators
H7C2A8,PLOD3,Matrisome-associated,ECM Regulators
H7C2S8,PLOD3,Matrisome-associated,ECM Regulators
H7C2V1,PLOD3,Matrisome-associated,ECM Regulators
O60568,PLOD3,Matrisome-associated,ECM Regulators
E7EQ64,PRSS1,Matrisome-associated,ECM Regulators
H0Y8D1,PRSS1,Matrisome-associated,ECM Regulators
P07477,PRSS1,Matrisome-associated,ECM Regulators
P56730,PRSS12,Matrisome-associated,ECM Regulators
P07478,PRSS2,Matrisome-associated,ECM Regulators
B1AN99,PRSS3,Matrisome-associated,ECM Regulators
P35030,PRSS3,Matrisome-associated,ECM Regulators
F5GXY0,PZP,Matrisome-associated,ECM Regulators
P20742,PZP,Matrisome-associated,ECM Regulators
G3V2B9,SERPINA1,Matrisome-associated,ECM Regulators
G3V387,SERPINA1,Matrisome-associated,ECM Regulators
G3V4I7,SERPINA1,Matrisome-associated,ECM Regulators
G3V544,SERPINA1,Matrisome-associated,ECM Regulators
G3V5R8,SERPINA1,Matrisome-associated,ECM Regulators
P01009,SERPINA1,Matrisome-associated,ECM Regulators
G3V2W1,SERPINA10,Matrisome-associated,ECM Regulators
Q9UK55,SERPINA10,Matrisome-associated,ECM Regulators
Q86U17,SERPINA11,Matrisome-associated,ECM Regulators
Q8IW75,SERPINA12,Matrisome-associated,ECM Regulators
P20848,SERPINA2,Matrisome-associated,ECM Regulators
G3V3A0,SERPINA3,Matrisome-associated,ECM Regulators
G3V595,SERPINA3,Matrisome-associated,ECM Regulators
P01011,SERPINA3,Matrisome-associated,ECM Regulators
P29622,SERPINA4,Matrisome-associated,ECM Regulators
G3V264,SERPINA5,Matrisome-associated,ECM Regulators
G3V265,SERPINA5,Matrisome-associated,ECM Regulators
G3V2M1,SERPINA5,Matrisome-associated,ECM Regulators
G3V3F5,SERPINA5,Matrisome-associated,ECM Regulators
G3V3Y3,SERPINA5,Matrisome-associated,ECM Regulators
G3V482,SERPINA5,Matrisome-associated,ECM Regulators
G3V4B4,SERPINA5,Matrisome-associated,ECM Regulators
G3V5Q9,SERPINA5,Matrisome-associated,ECM Regulators
P05154,SERPINA5,Matrisome-associated,ECM Regulators
G3V350,SERPINA6,Matrisome-associated,ECM Regulators
G3V4V7,SERPINA6,Matrisome-associated,ECM Regulators
P08185,SERPINA6,Matrisome-associated,ECM Regulators
P05543,SERPINA7,Matrisome-associated,ECM Regulators
Q86WD7,SERPINA9,Matrisome-associated,ECM Regulators
B4DNT0,SERPINB1,Matrisome-associated,ECM Regulators
P30740,SERPINB1,Matrisome-associated,ECM Regulators
H7BYS2,SERPINB10,Matrisome-associated,ECM Regulators
H7C004,SERPINB10,Matrisome-associated,ECM Regulators
P48595,SERPINB10,Matrisome-associated,ECM Regulators
F5GWT8,SERPINB11,Matrisome-associated,ECM Regulators
F5GY69,SERPINB11,Matrisome-associated,ECM Regulators
F5GYW9,SERPINB11,Matrisome-associated,ECM Regulators
Q96P15,SERPINB11,Matrisome-associated,ECM Regulators
Q3SYB4,SERPINB12,Matrisome-associated,ECM Regulators
Q96P63,SERPINB12,Matrisome-associated,ECM Regulators
C9JL93,SERPINB13,Matrisome-associated,ECM Regulators
F8WE70,SERPINB13,Matrisome-associated,ECM Regulators
H7BZS9,SERPINB13,Matrisome-associated,ECM Regulators
Q9UIV8,SERPINB13,Matrisome-associated,ECM Regulators
E7EPJ9,SERPINB2,Matrisome-associated,ECM Regulators
E7ERB5,SERPINB2,Matrisome-associated,ECM Regulators
E9PDK7,SERPINB2,Matrisome-associated,ECM Regulators
P05120,SERPINB2,Matrisome-associated,ECM Regulators
P29508,SERPINB3,Matrisome-associated,ECM Regulators
C9JZ65,SERPINB4,Matrisome-associated,ECM Regulators
F8W9L1,SERPINB4,Matrisome-associated,ECM Regulators
H0Y5H9,SERPINB4,Matrisome-associated,ECM Regulators
P48594,SERPINB4,Matrisome-associated,ECM Regulators
C9JLM5,SERPINB5,Matrisome-associated,ECM Regulators
P36952,SERPINB5,Matrisome-associated,ECM Regulators
P35237,SERPINB6,Matrisome-associated,ECM Regulators
C9JA68,SERPINB7,Matrisome-associated,ECM Regulators
C9JM00,SERPINB7,Matrisome-associated,ECM Regulators
C9JZR8,SERPINB7,Matrisome-associated,ECM Regulators
O75635,SERPINB7,Matrisome-associated,ECM Regulators
C9JTJ8,SERPINB8,Matrisome-associated,ECM Regulators
C9JVA8,SERPINB8,Matrisome-associated,ECM Regulators
H7BXK7,SERPINB8,Matrisome-associated,ECM Regulators
P50452,SERPINB8,Matrisome-associated,ECM Regulators
P50453,SERPINB9,Matrisome-associated,ECM Regulators
P01008,SERPINC1,Matrisome-associated,ECM Regulators
P05546,SERPIND1,Matrisome-associated,ECM Regulators
P05121,SERPINE1,Matrisome-associated,ECM Regulators
C9JN98,SERPINE2,Matrisome-associated,ECM Regulators
C9JRK5,SERPINE2,Matrisome-associated,ECM Regulators
C9K031,SERPINE2,Matrisome-associated,ECM Regulators
P07093,SERPINE2,Matrisome-associated,ECM Regulators
A8MV23,SERPINE3,Matrisome-associated,ECM Regulators
E5RG55,SERPINE3,Matrisome-associated,ECM Regulators
I3L107,SERPINF1,Matrisome-associated,ECM Regulators
I3L1U4,SERPINF1,Matrisome-associated,ECM Regulators
I3L2R7,SERPINF1,Matrisome-associated,ECM Regulators
I3L3Z3,SERPINF1,Matrisome-associated,ECM Regulators
I3L425,SERPINF1,Matrisome-associated,ECM Regulators
I3L4F9,SERPINF1,Matrisome-associated,ECM Regulators
I3L4N7,SERPINF1,Matrisome-associated,ECM Regulators
I3L4Z0,SERPINF1,Matrisome-associated,ECM Regulators
P36955,SERPINF1,Matrisome-associated,ECM Regulators
C9JMH6,SERPINF2,Matrisome-associated,ECM Regulators
C9JPV4,SERPINF2,Matrisome-associated,ECM Regulators
P08697,SERPINF2,Matrisome-associated,ECM Regulators
B4E1F0,SERPING1,Matrisome-associated,ECM Regulators
B4E1H2,SERPING1,Matrisome-associated,ECM Regulators
B5MCB9,SERPING1,Matrisome-associated,ECM Regulators
C9JZJ9,SERPING1,Matrisome-associated,ECM Regulators
E9PGN7,SERPING1,Matrisome-associated,ECM Regulators
E9PK97,SERPING1,Matrisome-associated,ECM Regulators
H0YCA1,SERPING1,Matrisome-associated,ECM Regulators
H9KV48,SERPING1,Matrisome-associated,ECM Regulators
P05155,SERPING1,Matrisome-associated,ECM Regulators
E9PIG2,SERPINH1,Matrisome-associated,ECM Regulators
E9PJH8,SERPINH1,Matrisome-associated,ECM Regulators
E9PK86,SERPINH1,Matrisome-associated,ECM Regulators
E9PKH2,SERPINH1,Matrisome-associated,ECM Regulators
E9PLA6,SERPINH1,Matrisome-associated,ECM Regulators
E9PMI5,SERPINH1,Matrisome-associated,ECM Regulators
E9PNX1,SERPINH1,Matrisome-associated,ECM Regulators
E9PPV6,SERPINH1,Matrisome-associated,ECM Regulators
E9PQ34,SERPINH1,Matrisome-associated,ECM Regulators
E9PR70,SERPINH1,Matrisome-associated,ECM Regulators
E9PRS3,SERPINH1,Matrisome-associated,ECM Regulators
H0YEP8,SERPINH1,Matrisome-associated,ECM Regulators
P50454,SERPINH1,Matrisome-associated,ECM Regulators
C9JDY5,SERPINI1,Matrisome-associated,ECM Regulators
C9JQU8,SERPINI1,Matrisome-associated,ECM Regulators
H7C5T9,SERPINI1,Matrisome-associated,ECM Regulators
Q99574,SERPINI1,Matrisome-associated,ECM Regulators
C9J7N5,SERPINI2,Matrisome-associated,ECM Regulators
C9JWE1,SERPINI2,Matrisome-associated,ECM Regulators
O75830,SERPINI2,Matrisome-associated,ECM Regulators
P03973,SLPI,Matrisome-associated,ECM Regulators
C9J2X5,SPAM1,Matrisome-associated,ECM Regulators
P38567,SPAM1,Matrisome-associated,ECM Regulators
Q9Y5Y6,ST14,Matrisome-associated,ECM Regulators
E9PI06,SULF1,Matrisome-associated,ECM Regulators
E9PJL8,SULF1,Matrisome-associated,ECM Regulators
E9PLS5,SULF1,Matrisome-associated,ECM Regulators
E9PPQ3,SULF1,Matrisome-associated,ECM Regulators
E9PS14,SULF1,Matrisome-associated,ECM Regulators
H0YDR1,SULF1,Matrisome-associated,ECM Regulators
Q8IWU6,SULF1,Matrisome-associated,ECM Regulators
B1AMP9,SULF2,Matrisome-associated,ECM Regulators
G3XAE6,SULF2,Matrisome-associated,ECM Regulators
H0Y872,SULF2,Matrisome-associated,ECM Regulators
Q8IWU5,SULF2,Matrisome-associated,ECM Regulators
B4DWR7,TGM1,Matrisome-associated,ECM Regulators
H0YKI6,TGM1,Matrisome-associated,ECM Regulators
H0YLJ6,TGM1,Matrisome-associated,ECM Regulators
H0YLT9,TGM1,Matrisome-associated,ECM Regulators
H0YMQ8,TGM1,Matrisome-associated,ECM Regulators
H0YN27,TGM1,Matrisome-associated,ECM Regulators
H0YNM4,TGM1,Matrisome-associated,ECM Regulators
P22735,TGM1,Matrisome-associated,ECM Regulators
A2A299,TGM2,Matrisome-associated,ECM Regulators
A2A2A0,TGM2,Matrisome-associated,ECM Regulators
B4DIT7,TGM2,Matrisome-associated,ECM Regulators
F5H6P0,TGM2,Matrisome-associated,ECM Regulators
P21980,TGM2,Matrisome-associated,ECM Regulators
Q08188,TGM3,Matrisome-associated,ECM Regulators
F8WCU8,TGM4,Matrisome-associated,ECM Regulators
P49221,TGM4,Matrisome-associated,ECM Regulators
O43548,TGM5,Matrisome-associated,ECM Regulators
O95932,TGM6,Matrisome-associated,ECM Regulators
Q96PF1,TGM7,Matrisome-associated,ECM Regulators
B4DJK3,TIMP1,Matrisome-associated,ECM Regulators
H0Y789,TIMP1,Matrisome-associated,ECM Regulators
P01033,TIMP1,Matrisome-associated,ECM Regulators
Q5H9A7,TIMP1,Matrisome-associated,ECM Regulators
Q5H9B4,TIMP1,Matrisome-associated,ECM Regulators
Q5H9B5,TIMP1,Matrisome-associated,ECM Regulators
B4DFW2,TIMP2,Matrisome-associated,ECM Regulators
K7EIX4,TIMP2,Matrisome-associated,ECM Regulators
P16035,TIMP2,Matrisome-associated,ECM Regulators
P35625,TIMP3,Matrisome-associated,ECM Regulators
Q99727,TIMP4,Matrisome-associated,ECM Regulators
D6RAK5,TLL1,Matrisome-associated,ECM Regulators
D6RBI6,TLL1,Matrisome-associated,ECM Regulators
D6RCE0,TLL1,Matrisome-associated,ECM Regulators
E9PD25,TLL1,Matrisome-associated,ECM Regulators
O43897,TLL1,Matrisome-associated,ECM Regulators
Q9Y6L7,TLL2,Matrisome-associated,ECM Regulators
E9PG70,TMPRSS15,Matrisome-associated,ECM Regulators
P98073,TMPRSS15,Matrisome-associated,ECM Regulators
K7EJU5,AMH,Matrisome-associated,Secreted Factors
P03971,AMH,Matrisome-associated,Secreted Factors
B4DTQ9,ANGPT1,Matrisome-associated,Secreted Factors
E5RFF4,ANGPT1,Matrisome-associated,Secreted Factors
E7ERK4,ANGPT1,Matrisome-associated,Secreted Factors
Q15389,ANGPT1,Matrisome-associated,Secreted Factors
E7EVQ3,ANGPT2,Matrisome-associated,Secreted Factors
O15123,ANGPT2,Matrisome-associated,Secreted Factors
Q9Y264,ANGPT4,Matrisome-associated,Secreted Factors
O95841,ANGPTL1,Matrisome-associated,Secreted Factors
Q8NCH7,ANGPTL2,Matrisome-associated,Secreted Factors
Q9UKU9,ANGPTL2,Matrisome-associated,Secreted Factors
Q9Y5C1,ANGPTL3,Matrisome-associated,Secreted Factors
M0QZ51,ANGPTL4,Matrisome-associated,Secreted Factors
M0R0N8,ANGPTL4,Matrisome-associated,Secreted Factors
M0R2X8,ANGPTL4,Matrisome-associated,Secreted Factors
M0R369,ANGPTL4,Matrisome-associated,Secreted Factors
M0R3A2,ANGPTL4,Matrisome-associated,Secreted Factors
Q9BY76,ANGPTL4,Matrisome-associated,Secreted Factors
E9PKF7,ANGPTL5,Matrisome-associated,Secreted Factors
Q86XS5,ANGPTL5,Matrisome-associated,Secreted Factors
K7EKF6,ANGPTL6,Matrisome-associated,Secreted Factors
Q8NI99,ANGPTL6,Matrisome-associated,Secreted Factors
O43827,ANGPTL7,Matrisome-associated,Secreted Factors
D6RFX5,AREG,Matrisome-associated,Secreted Factors
P15514,AREG,Matrisome-associated,Secreted Factors
E9PIK2,ARTN,Matrisome-associated,Secreted Factors
E9PLG3,ARTN,Matrisome-associated,Secreted Factors
E9PN22,ARTN,Matrisome-associated,Secreted Factors
Q5T4W7,ARTN,Matrisome-associated,Secreted Factors
E9PMP3,BDNF,Matrisome-associated,Secreted Factors
P23560,BDNF,Matrisome-associated,Secreted Factors
O95393,BMP10,Matrisome-associated,Secreted Factors
O95972,BMP15,Matrisome-associated,Secreted Factors
P12643,BMP2,Matrisome-associated,Secreted Factors
P12645,BMP3,Matrisome-associated,Secreted Factors
H0YLW3,BMP4,Matrisome-associated,Secreted Factors
H0YM53,BMP4,Matrisome-associated,Secreted Factors
H0YMP9,BMP4,Matrisome-associated,Secreted Factors
P12644,BMP4,Matrisome-associated,Secreted Factors
V9GYF1,BMP4,Matrisome-associated,Secreted Factors
B4E0Y4,BMP5,Matrisome-associated,Secreted Factors
P22003,BMP5,Matrisome-associated,Secreted Factors
P22004,BMP6,Matrisome-associated,Secreted Factors
B1AKZ9,BMP7,Matrisome-associated,Secreted Factors
B1AL00,BMP7,Matrisome-associated,Secreted Factors
H0Y4B5,BMP7,Matrisome-associated,Secreted Factors
P18075,BMP7,Matrisome-associated,Secreted Factors
Q7Z5Y6,BMP8A,Matrisome-associated,Secreted Factors
E7EMY8,BMP8B,Matrisome-associated,Secreted Factors
P34820,BMP8B,Matrisome-associated,Secreted Factors
Q9C0B6,BRINP2,Matrisome-associated,Secreted Factors
B1AMP1,BRINP3,Matrisome-associated,Secreted Factors
B7Z260,BRINP3,Matrisome-associated,Secreted Factors
Q76B58,BRINP3,Matrisome-associated,Secreted Factors
H0Y8Q5,BTC,Matrisome-associated,Secreted Factors
P35070,BTC,Matrisome-associated,Secreted Factors
B2RNN3,C1QTNF9B,Matrisome-associated,Secreted Factors
H3BQD0,CBLN1,Matrisome-associated,Secreted Factors
P23435,CBLN1,Matrisome-associated,Secreted Factors
J3KST0,CBLN2,Matrisome-associated,Secreted Factors
J3QS23,CBLN2,Matrisome-associated,Secreted Factors
Q8IUK8,CBLN2,Matrisome-associated,Secreted Factors
G3V2Y8,CBLN3,Matrisome-associated,Secreted Factors
Q6UW01,CBLN3,Matrisome-associated,Secreted Factors
Q9NTU7,CBLN4,Matrisome-associated,Secreted Factors
K7EQ81,CCBE1,Matrisome-associated,Secreted Factors
Q6UXH8,CCBE1,Matrisome-associated,Secreted Factors
P22362,CCL1,Matrisome-associated,Secreted Factors
P51671,CCL11,Matrisome-associated,Secreted Factors
